epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5066,1.54744,2.90181,1.30142,0.00058,0.11094,0.00519,0.00177,1.58333,3.88357,1.87466,0.0019,0.0019,0.0829
2,29.5772,1.29784,1.65551,1.2467,0.00047,0.02147,0.00024,0.0001,4.11175,inf,116.769,0.00389996,0.00389996,0.0649
3,36.3407,1.29083,1.47155,1.25884,0,0,0,0,nan,nan,nan,0.00589977,0.00589977,0.0468998
4,43.1786,1.24527,1.39508,1.24866,0.42864,0.00456,2e-05,1e-05,nan,nan,nan,0.00789931,0.00789931,0.0288993
5,49.7612,1.20316,1.26977,1.21084,0.00078,0.0146,0.00042,0.00015,4.51782,4.99346,9.01422,0.00989845,0.00989845,0.0108985
6,56.4084,1.2261,1.26017,1.1978,0.71066,0.08974,0.06584,0.04023,2.60144,5.2777,3.17901,0.00999756,0.00999756,0.00999756
7,63.0767,1.13777,1.27395,1.21301,0.64632,0.58236,0.542,0.37958,1.43838,3.67409,1.58779,0.00999648,0.00999648,0.00999648
8,69.7313,1.07636,1.14484,1.15487,0.63877,0.50442,0.50842,0.38006,1.34375,3.63247,1.47048,0.00999521,0.00999521,0.00999521
9,76.0965,1.06094,1.06569,1.11323,0.77221,0.51971,0.50318,0.39297,1.24261,3.74638,1.35296,0.00999375,0.00999375,0.00999375
10,82.1258,1.03826,1.11136,1.12972,0.72801,0.67299,0.71086,0.51704,1.15307,2.29672,1.20816,0.00999209,0.00999209,0.00999209
11,88.4251,1.05159,1.14557,1.17053,0.7399,0.66008,0.75507,0.56508,1.09593,1.77797,1.18391,0.00999023,0.00999023,0.00999023
12,94.953,0.98534,0.99599,1.09564,0.57552,0.6982,0.63911,0.48484,1.05599,1.88175,1.16114,0.00998818,0.00998818,0.00998818
13,101.605,0.98263,0.99876,1.0869,0.75726,0.6871,0.68822,0.53507,1.04142,1.46681,1.17997,0.00998594,0.00998594,0.00998594
14,107.983,0.97087,1.02034,1.10643,0.75299,0.70881,0.75753,0.55959,1.05307,1.31096,1.17402,0.0099835,0.0099835,0.0099835
15,114.67,1.01977,1.06972,1.11607,0.786,0.68511,0.76424,0.57087,1.05684,1.3338,1.15532,0.00998086,0.00998086,0.00998086
16,121.419,0.97558,0.9952,1.07455,0.84243,0.71281,0.80799,0.58299,0.99863,1.16841,1.10284,0.00997803,0.00997803,0.00997803
17,128.1,0.92384,0.93626,1.06267,0.79584,0.71034,0.77243,0.5865,0.95574,1.22935,1.08571,0.00997501,0.00997501,0.00997501
18,134.799,0.90957,0.93623,1.05172,0.65727,0.75658,0.74035,0.59072,0.90571,1.04936,1.07488,0.00997179,0.00997179,0.00997179
19,141.539,0.91035,0.89935,1.05508,0.73372,0.80288,0.81069,0.63177,0.95771,1.08539,1.0878,0.00996838,0.00996838,0.00996838
20,148.327,0.91741,0.95706,1.07303,0.85848,0.73056,0.84543,0.60337,1.03465,1.0564,1.11672,0.00996477,0.00996477,0.00996477
21,155.047,0.90735,0.94326,1.06879,0.81803,0.71893,0.83194,0.62565,0.96326,1.02946,1.11181,0.00996097,0.00996097,0.00996097
22,161.782,0.89122,0.88372,1.0433,0.8209,0.72158,0.82011,0.63237,0.92662,1.03775,1.09416,0.00995697,0.00995697,0.00995697
23,168.305,0.86881,0.8983,1.04597,0.84526,0.73877,0.8329,0.65028,0.89896,0.99819,1.07102,0.00995278,0.00995278,0.00995278
24,174.832,0.87392,0.87549,1.03165,0.71021,0.83543,0.84256,0.66228,0.95386,1.0934,1.07382,0.0099484,0.0099484,0.0099484
25,181.449,0.9013,0.90531,1.04316,0.73663,0.8509,0.82743,0.66338,0.92886,0.97618,1.05078,0.00994383,0.00994383,0.00994383
26,188.082,0.89953,0.88495,1.04912,0.8504,0.73287,0.83004,0.65131,0.93896,1.00914,1.05803,0.00993906,0.00993906,0.00993906
27,194.727,0.92077,0.97013,1.08222,0.72549,0.7908,0.78016,0.63209,0.93719,1.23068,1.11017,0.0099341,0.0099341,0.0099341
28,201.38,0.87779,0.85446,1.02734,0.83556,0.83513,0.81483,0.65683,0.92216,1.02305,1.08679,0.00992894,0.00992894,0.00992894
29,208.031,0.88906,0.90746,1.05875,0.80054,0.82052,0.82079,0.6311,0.95785,1.02814,1.06739,0.00992359,0.00992359,0.00992359
30,214.724,0.86163,0.84431,1.02868,0.81265,0.85034,0.80128,0.62687,0.93177,0.99829,1.0745,0.00991805,0.00991805,0.00991805
31,221.441,0.87408,0.89135,1.03822,0.81021,0.8169,0.83544,0.6447,0.95578,1.00987,1.10725,0.00991232,0.00991232,0.00991232
32,228.012,0.86288,0.87223,1.0493,0.83377,0.84111,0.84748,0.6355,0.92331,0.93853,1.08304,0.0099064,0.0099064,0.0099064
33,233.992,0.88557,0.87005,1.04582,0.83017,0.84447,0.854,0.66325,0.94775,0.94897,1.06925,0.00990028,0.00990028,0.00990028
34,240.006,0.85715,0.82785,1.0297,0.85743,0.84628,0.85331,0.66722,0.88288,0.94981,1.06778,0.00989398,0.00989398,0.00989398
35,246.018,0.87932,0.87126,1.04634,0.85725,0.87417,0.85944,0.66811,0.94971,0.92685,1.09736,0.00988748,0.00988748,0.00988748
36,252.423,0.86187,0.82016,1.02587,0.85216,0.85992,0.85512,0.67714,0.89048,0.95351,1.05642,0.00988079,0.00988079,0.00988079
37,259.142,0.85159,0.82081,1.03486,0.76339,0.84436,0.82058,0.64697,0.90677,0.99207,1.04409,0.00987391,0.00987391,0.00987391
38,265.871,0.87359,0.86477,1.04815,0.76448,0.88195,0.83941,0.66438,0.89569,1.00643,1.04528,0.00986684,0.00986684,0.00986684
39,272.577,0.82519,0.76356,1.0081,0.84869,0.86512,0.85061,0.6818,0.93804,0.93072,1.0552,0.00985958,0.00985958,0.00985958
40,279.271,0.83488,0.84079,1.03355,0.85815,0.86478,0.84232,0.68072,0.87975,0.94702,1.05336,0.00985213,0.00985213,0.00985213
41,285.882,0.80429,0.74947,0.98893,0.84423,0.83021,0.84246,0.67614,0.8558,0.94294,1.06392,0.00984449,0.00984449,0.00984449
42,292.522,0.78234,0.75096,0.99197,0.85839,0.85708,0.8372,0.6803,0.88803,0.97259,1.0925,0.00983666,0.00983666,0.00983666
43,299.2,0.78904,0.76544,1.0109,0.86812,0.87317,0.85017,0.66215,0.89451,1.1183,1.04649,0.00982864,0.00982864,0.00982864
44,305.821,0.80441,0.79832,1.01257,0.82724,0.87614,0.85582,0.68648,0.93381,0.94328,1.06857,0.00982043,0.00982043,0.00982043
45,312.495,0.79219,0.76422,0.99977,0.85816,0.82407,0.84745,0.69665,0.92401,0.96103,1.08176,0.00981204,0.00981204,0.00981204
46,319.153,0.79359,0.73616,1.01095,0.82848,0.81688,0.84159,0.66286,0.92049,0.95411,1.11403,0.00980345,0.00980345,0.00980345
47,325.208,0.81024,0.76925,1.00084,0.86581,0.82637,0.83894,0.65618,0.89025,0.90806,1.03902,0.00979468,0.00979468,0.00979468
48,331.545,0.88504,0.85612,1.05708,0.86675,0.87,0.86863,0.69547,0.91487,0.88888,1.05763,0.00978572,0.00978572,0.00978572
49,338.261,0.85657,0.80251,1.02253,0.84879,0.87352,0.87572,0.70119,0.89502,0.87157,1.05632,0.00977658,0.00977658,0.00977658
50,344.958,0.81358,0.75476,0.99861,0.85724,0.86908,0.87636,0.68141,0.8603,0.85887,1.04621,0.00976725,0.00976725,0.00976725
51,351.596,0.80929,0.79789,1.02125,0.84063,0.88595,0.87505,0.71594,0.90228,0.88302,1.08683,0.00975773,0.00975773,0.00975773
52,358.26,0.80211,0.80006,1.02134,0.84673,0.88062,0.87908,0.70221,0.89925,0.88402,1.07463,0.00974803,0.00974803,0.00974803
53,364.913,0.78322,0.71414,0.98032,0.86211,0.8738,0.86819,0.71211,0.84763,0.86267,1.03695,0.00973814,0.00973814,0.00973814
54,371.642,0.78174,0.76784,1.00623,0.86174,0.85793,0.86731,0.71402,0.86267,0.85017,1.08458,0.00972806,0.00972806,0.00972806
55,378.298,0.78815,0.80282,1.02615,0.84162,0.87718,0.86393,0.69097,0.85808,0.87175,1.03986,0.0097178,0.0097178,0.0097178
56,384.952,0.78144,0.76091,1.007,0.82857,0.85288,0.86629,0.68138,0.81826,0.83805,1.0235,0.00970736,0.00970736,0.00970736
57,391.518,0.77401,0.77433,1.00418,0.81284,0.82783,0.84469,0.69776,0.81172,0.89732,1.01744,0.00969673,0.00969673,0.00969673
58,398.186,0.78178,0.78943,0.99186,0.85193,0.86439,0.87375,0.70072,0.88409,0.93464,1.07133,0.00968592,0.00968592,0.00968592
59,404.762,0.77354,0.75021,1.00211,0.746,0.86018,0.86194,0.70445,0.80796,0.92179,1.02226,0.00967493,0.00967493,0.00967493
60,411.38,0.74514,0.76779,0.99623,0.79648,0.84622,0.86454,0.69909,0.83082,0.85471,1.03065,0.00966375,0.00966375,0.00966375
61,418.051,0.74277,0.7084,0.97809,0.85978,0.82549,0.86365,0.69277,0.83834,0.9272,1.0433,0.00965239,0.00965239,0.00965239
62,424.615,0.75955,0.78411,0.99766,0.78088,0.85497,0.86551,0.71443,0.79343,0.83484,1.01797,0.00964085,0.00964085,0.00964085
63,431.359,0.77002,0.7304,0.9849,0.82068,0.83755,0.87512,0.71219,0.81867,0.82976,1.02714,0.00962913,0.00962913,0.00962913
64,438.094,0.75772,0.72862,0.99551,0.79911,0.85486,0.85699,0.70764,0.85762,0.84932,1.04584,0.00961723,0.00961723,0.00961723
65,444.669,0.76264,0.76492,1.01079,0.82485,0.81648,0.84998,0.71284,0.82278,0.96636,1.03921,0.00960515,0.00960515,0.00960515
66,451.449,0.73793,0.69722,0.97827,0.8429,0.81882,0.84833,0.69911,0.82401,0.89701,1.05212,0.00959289,0.00959289,0.00959289
67,458.048,0.75453,0.72547,0.98896,0.84689,0.84039,0.84135,0.70283,0.84905,0.85147,1.02921,0.00958044,0.00958044,0.00958044
68,464.76,0.75513,0.77362,1.011,0.85675,0.83919,0.8654,0.69048,0.86487,0.7993,1.00756,0.00956782,0.00956782,0.00956782
69,471.462,0.7212,0.6859,0.9697,0.8503,0.82948,0.85923,0.69113,0.8591,0.85578,1.04456,0.00955502,0.00955502,0.00955502
70,478.179,0.7474,0.73734,0.99222,0.81495,0.86223,0.86009,0.70072,0.85409,0.81959,1.0196,0.00954205,0.00954205,0.00954205
71,484.866,0.75442,0.73571,0.9884,0.8236,0.85315,0.85182,0.69606,0.83487,0.86413,1.03652,0.00952889,0.00952889,0.00952889
72,491.6,0.76902,0.76336,1.0002,0.83845,0.84261,0.84485,0.6892,0.83975,0.83657,1.03006,0.00951556,0.00951556,0.00951556
73,498.433,0.77051,0.74344,1.00219,0.85886,0.8346,0.82955,0.68528,0.83852,0.88169,1.03791,0.00950206,0.00950206,0.00950206
74,505.028,0.75247,0.72762,0.97672,0.82733,0.84475,0.81304,0.66735,0.83714,1.00459,1.02563,0.00948837,0.00948837,0.00948837
75,511.433,0.72845,0.68608,0.96808,0.85998,0.83841,0.86823,0.69853,0.85,0.79874,1.07638,0.00947452,0.00947452,0.00947452
76,517.497,0.73934,0.73589,0.99655,0.83911,0.82927,0.88623,0.72332,0.79419,0.79352,1.01269,0.00946048,0.00946048,0.00946048
77,523.378,0.75202,0.72354,0.996,0.83226,0.81643,0.88293,0.71511,0.81494,0.78009,1.00609,0.00944628,0.00944628,0.00944628
78,529.303,0.73303,0.73014,0.99624,0.85194,0.81732,0.8593,0.70008,0.83694,0.84979,1.03127,0.00943189,0.00943189,0.00943189
79,535.205,0.76277,0.73739,0.99478,0.84535,0.84379,0.85931,0.69851,0.80437,0.82303,1.01067,0.00941734,0.00941734,0.00941734
80,541.244,0.7646,0.72131,0.99701,0.8558,0.84471,0.86439,0.68855,0.83829,0.82343,1.01498,0.00940262,0.00940262,0.00940262
81,547.162,0.72637,0.7031,0.97858,0.83368,0.85511,0.86157,0.70692,0.7954,0.81642,1.00848,0.00938772,0.00938772,0.00938772
82,553.181,0.73964,0.70882,0.97251,0.84987,0.85144,0.88466,0.71884,0.80009,0.788,1.00999,0.00937265,0.00937265,0.00937265
83,559.247,0.73957,0.7424,0.98783,0.83408,0.89773,0.87399,0.72903,0.80688,0.82979,1.02288,0.00935741,0.00935741,0.00935741
84,565.168,0.71952,0.71677,0.98093,0.81368,0.89759,0.87221,0.72484,0.78938,0.80235,1.00339,0.009342,0.009342,0.009342
85,571.146,0.77854,0.76911,1.00914,0.83479,0.86242,0.87406,0.70587,0.80283,0.78178,1.00059,0.00932642,0.00932642,0.00932642
86,577.098,0.74684,0.76742,0.99541,0.85803,0.82588,0.88102,0.73152,0.78242,1.06615,1.01258,0.00931067,0.00931067,0.00931067
87,583.01,0.74403,0.71666,0.98532,0.85397,0.8445,0.86569,0.7195,0.79994,0.98556,1.04037,0.00929476,0.00929476,0.00929476
88,589.002,0.72881,0.69071,0.98067,0.83933,0.88216,0.876,0.69421,0.82168,0.81159,1.02501,0.00927867,0.00927867,0.00927867
89,594.946,0.74717,0.75338,0.9944,0.8346,0.89326,0.88623,0.72902,0.7921,0.79451,1.00189,0.00926242,0.00926242,0.00926242
90,600.82,0.70491,0.69868,0.9716,0.85239,0.85895,0.87936,0.72126,0.78102,0.80515,0.99324,0.00924601,0.00924601,0.00924601
91,606.814,0.72503,0.7251,0.98037,0.84795,0.84629,0.86317,0.70596,0.76649,0.8188,1.00109,0.00922942,0.00922942,0.00922942
92,612.757,0.70777,0.66532,0.96092,0.82618,0.85383,0.8517,0.70832,0.8101,0.84469,1.00476,0.00921268,0.00921268,0.00921268
93,618.706,0.71504,0.68932,0.96944,0.81146,0.84312,0.85557,0.69712,0.81176,0.82652,1.0055,0.00919576,0.00919576,0.00919576
94,624.72,0.73014,0.73895,0.98176,0.83082,0.88279,0.87879,0.72378,0.78096,0.8026,0.99847,0.00917869,0.00917869,0.00917869
95,630.664,0.7278,0.73012,0.98416,0.82898,0.85458,0.8693,0.70487,0.79126,0.86266,1.01346,0.00916145,0.00916145,0.00916145
96,636.631,0.71383,0.71111,0.97672,0.80469,0.86164,0.86682,0.71353,0.80165,0.80975,1.00653,0.00914405,0.00914405,0.00914405
97,642.565,0.69197,0.67871,0.96397,0.86904,0.86138,0.8761,0.72831,0.76123,0.78997,1.00165,0.00912649,0.00912649,0.00912649
98,648.533,0.71086,0.68906,0.96712,0.83529,0.88549,0.87372,0.70696,0.80639,0.83345,1.00761,0.00910876,0.00910876,0.00910876
99,654.482,0.70631,0.69832,0.97495,0.83995,0.89167,0.88474,0.73513,0.78419,0.80978,1.00366,0.00909088,0.00909088,0.00909088
100,660.413,0.70319,0.67476,0.96307,0.83021,0.89796,0.87956,0.73462,0.78545,0.8166,1.02479,0.00907284,0.00907284,0.00907284
