episode,episode_reward,loss,avg_reward_100,max_reward,episode_steps,timestamp
1,-1.000,-0.002731,-1.000,-1.000,37,2026-03-17T20:47:24.682645
2,-1.000,-0.006579,-1.000,-1.000,37,2026-03-17T20:47:24.696164
3,-1.000,-0.010305,-1.000,-1.000,37,2026-03-17T20:47:24.709456
4,-1.000,-0.013944,-1.000,-1.000,37,2026-03-17T20:47:24.725541
5,-1.000,-0.017304,-1.000,-1.000,37,2026-03-17T20:47:24.735550
6,-1.000,-0.020769,-1.000,-1.000,37,2026-03-17T20:47:24.740085
7,-1.000,-0.024401,-1.000,-1.000,37,2026-03-17T20:47:24.749697
8,-1.000,-0.027989,-1.000,-1.000,37,2026-03-17T20:47:24.763667
9,-1.000,-0.031775,-1.000,-1.000,37,2026-03-17T20:47:24.782755
10,-1.000,-0.035794,-1.000,-1.000,37,2026-03-17T20:47:24.789591
11,-1.000,-0.040045,-1.000,-1.000,37,2026-03-17T20:47:24.809253
12,-1.000,-0.044603,-1.000,-1.000,37,2026-03-17T20:47:24.816745
13,-1.000,-0.049349,-1.000,-1.000,37,2026-03-17T20:47:24.835085
14,4.000,-0.007403,-0.643,4.000,50,2026-03-17T20:47:24.850099
15,-1.000,-0.057717,-0.667,4.000,37,2026-03-17T20:47:24.858180
16,-1.000,-0.061226,-0.688,4.000,37,2026-03-17T20:47:24.869427
17,-1.000,-0.065461,-0.706,4.000,37,2026-03-17T20:47:24.882804
18,-1.000,-0.070458,-0.722,4.000,37,2026-03-17T20:47:24.895809
19,-1.000,-0.075254,-0.737,4.000,37,2026-03-17T20:47:24.906333
20,4.000,-0.021908,-0.500,4.000,50,2026-03-17T20:47:24.923012
21,4.000,-0.025855,-0.286,4.000,50,2026-03-17T20:47:24.939933
22,-1.000,-0.088161,-0.318,4.000,37,2026-03-17T20:47:24.950261
23,-1.000,-0.092050,-0.348,4.000,37,2026-03-17T20:47:24.965469
24,-1.000,-0.096797,-0.375,4.000,37,2026-03-17T20:47:24.976479
25,-1.000,-0.102177,-0.400,4.000,37,2026-03-17T20:47:24.989511
26,7.000,-0.058281,-0.115,7.000,69,2026-03-17T20:47:25.002858
27,-1.000,-0.111524,-0.148,7.000,37,2026-03-17T20:47:25.016184
28,-1.000,-0.115390,-0.179,7.000,37,2026-03-17T20:47:25.016184
29,-1.000,-0.119966,-0.207,7.000,37,2026-03-17T20:47:25.029616
30,-1.000,-0.125308,-0.233,7.000,37,2026-03-17T20:47:25.047883
31,7.000,-0.076032,0.000,7.000,69,2026-03-17T20:47:25.070190
32,5.000,-0.071892,0.156,7.000,57,2026-03-17T20:47:25.083963
33,-1.000,-0.136881,0.121,7.000,37,2026-03-17T20:47:25.101956
34,-1.000,-0.138822,0.088,7.000,37,2026-03-17T20:47:25.113967
35,-1.000,-0.144475,0.057,7.000,37,2026-03-17T20:47:25.123000
36,14.000,-0.078659,0.444,14.000,94,2026-03-17T20:47:25.136242
37,14.000,-0.081073,0.811,14.000,94,2026-03-17T20:47:25.162805
38,14.000,-0.085523,1.158,14.000,94,2026-03-17T20:47:25.176139
39,-1.000,-0.156373,1.103,14.000,37,2026-03-17T20:47:25.189630
40,-1.000,-0.158104,1.050,14.000,37,2026-03-17T20:47:25.202950
41,-1.000,-0.162554,1.000,14.000,37,2026-03-17T20:47:25.223122
42,14.000,-0.096391,1.310,14.000,94,2026-03-17T20:47:25.259621
43,7.000,-0.113982,1.442,14.000,69,2026-03-17T20:47:25.270915
44,7.000,-0.121236,1.568,14.000,69,2026-03-17T20:47:25.301954
45,-1.000,-0.168523,1.511,14.000,37,2026-03-17T20:47:25.313467
46,-1.000,-0.168318,1.457,14.000,37,2026-03-17T20:47:25.323131
47,-1.000,-0.172131,1.404,14.000,37,2026-03-17T20:47:25.335312
48,5.000,-0.113185,1.479,14.000,57,2026-03-17T20:47:25.353233
49,6.000,-0.121803,1.571,14.000,64,2026-03-17T20:47:25.369756
50,7.000,-0.130548,1.680,14.000,69,2026-03-17T20:47:25.376525
51,7.000,-0.135809,1.784,14.000,69,2026-03-17T20:47:25.422619
52,7.000,-0.144124,1.885,14.000,69,2026-03-17T20:47:25.441255
53,-1.000,-0.174861,1.830,14.000,37,2026-03-17T20:47:25.451264
54,-1.000,-0.173796,1.778,14.000,37,2026-03-17T20:47:25.462274
55,-1.000,-0.178556,1.727,14.000,37,2026-03-17T20:47:25.473021
56,7.000,-0.143246,1.821,14.000,69,2026-03-17T20:47:25.483071
57,7.000,-0.147912,1.912,14.000,69,2026-03-17T20:47:25.509895
58,6.000,-0.145063,1.983,14.000,64,2026-03-17T20:47:25.530733
59,-1.000,-0.180166,1.932,14.000,37,2026-03-17T20:47:25.541218
60,-1.000,-0.179788,1.883,14.000,37,2026-03-17T20:47:25.552480
61,4.000,-0.083542,1.918,14.000,50,2026-03-17T20:47:25.566823
62,4.000,-0.083837,1.952,14.000,50,2026-03-17T20:47:25.583838
63,4.000,-0.086601,1.984,14.000,50,2026-03-17T20:47:25.597546
64,4.000,-0.091551,2.016,14.000,50,2026-03-17T20:47:25.613559
65,-1.000,-0.178057,1.969,14.000,37,2026-03-17T20:47:25.625570
66,-1.000,-0.179279,1.924,14.000,37,2026-03-17T20:47:25.636559
67,5.000,-0.125159,1.970,14.000,57,2026-03-17T20:47:25.656240
68,5.000,-0.130643,2.015,14.000,57,2026-03-17T20:47:25.674583
69,16.000,-0.085579,2.217,16.000,625,2026-03-17T20:47:25.752504
70,13.000,-0.135575,2.371,16.000,93,2026-03-17T20:47:25.780278
71,5.000,-0.120693,2.408,16.000,58,2026-03-17T20:47:25.799682
72,5.000,-0.127016,2.444,16.000,58,2026-03-17T20:47:25.822261
