episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,-1.240000,149,1192,0,2026-03-23T18:45:22.068989,10043
2,-1.240000,149,1192,0,2026-03-23T18:45:22.069024,20043
3,-1.240000,149,1192,0,2026-03-23T18:45:22.069028,70043
4,15.800001,232,1856,0,2026-03-23T18:45:22.116631,50043
5,3.580000,235,1880,0,2026-03-23T18:45:22.118671,30043
6,6.100000,245,1960,0,2026-03-23T18:45:22.124317,40043
7,-1.240000,149,2384,0,2026-03-23T18:45:22.351956,10044
8,21.719999,310,2480,0,2026-03-23T18:45:22.359222,60043
9,-0.280000,180,2632,0,2026-03-23T18:45:22.372355,20044
10,-0.280000,181,2640,0,2026-03-23T18:45:22.373184,70044
11,7.260000,339,2712,0,2026-03-23T18:45:22.378369,43
12,-1.240000,149,3072,0,2026-03-23T18:45:22.404076,30044
13,-1.240000,149,3152,0,2026-03-23T18:45:22.409754,40044
14,-1.240000,149,3576,0,2026-03-23T18:45:22.438537,10045
15,-1.480000,149,3672,0,2026-03-23T18:45:22.444955,60044
16,4.580000,233,4496,0,2026-03-23T18:45:22.659694,20045
17,2.630000,225,4512,0,2026-03-23T18:45:22.661046,44
18,1.670000,191,4600,0,2026-03-23T18:45:22.667988,30045
19,4.580000,245,4600,0,2026-03-23T18:45:22.667996,70045
20,8.960000,350,4656,0,2026-03-23T18:45:22.672412,50044
21,2.430000,220,4912,0,2026-03-23T18:45:22.690732,40045
22,-0.480000,176,4984,0,2026-03-23T18:45:22.695833,10046
23,4.550000,295,6032,0,2026-03-23T18:45:22.767179,60045
24,0.670000,195,6072,0,2026-03-23T18:45:22.770175,45
25,1.430000,214,6368,0,2026-03-23T18:45:22.943189,50045
26,1.390000,225,6400,0,2026-03-23T18:45:22.945634,70046
27,3.540000,266,6624,0,2026-03-23T18:45:22.961734,20046
28,-1.240000,149,7264,0,2026-03-23T18:45:23.007208,46
29,23.830000,365,7520,0,2026-03-23T18:45:23.025014,30046
30,15.890000,228,7856,0,2026-03-23T18:45:23.048733,60046
31,0.630000,220,8128,0,2026-03-23T18:45:23.066853,50046
32,27.549999,429,8344,0,2026-03-23T18:45:23.227782,40046
33,2.430000,220,8384,0,2026-03-23T18:45:23.230724,20047
34,-1.240000,149,8456,0,2026-03-23T18:45:23.236489,47
35,-1.240000,149,9048,0,2026-03-23T18:45:23.277355,60047
36,-1.480000,149,9536,0,2026-03-23T18:45:23.311259,40047
37,11.280000,408,9664,0,2026-03-23T18:45:23.320625,70047
38,2.580000,222,9904,0,2026-03-23T18:45:23.337916,50047
39,0.720000,183,9920,0,2026-03-23T18:45:23.339487,48
40,15.990002,229,10216,0,2026-03-23T18:45:23.360406,20048
41,-1.240000,149,11096,0,2026-03-23T18:45:23.565666,50048
42,15.389999,463,11224,0,2026-03-23T18:45:23.575463,30047
43,1.430000,195,11480,0,2026-03-23T18:45:23.594017,49
44,3.580000,232,11520,0,2026-03-23T18:45:23.597017,70048
45,5.020000,332,11704,0,2026-03-23T18:45:23.610090,60048
46,5.450000,303,11960,0,2026-03-23T18:45:23.628586,40048
47,-1.240000,149,12416,0,2026-03-23T18:45:23.807379,30048
48,-1.240000,149,12672,0,2026-03-23T18:45:23.826787,50
49,1.580000,233,12960,0,2026-03-23T18:45:23.847630,50049
50,35.040001,362,13112,0,2026-03-23T18:45:23.858891,20049
51,16.290001,231,13368,0,2026-03-23T18:45:23.877620,70049
52,16.290001,230,13544,0,2026-03-23T18:45:23.890466,60049
53,0.910000,166,14440,0,2026-03-23T18:45:24.100713,20050
54,3.540000,256,14464,0,2026-03-23T18:45:24.102787,30049
55,2.430000,227,14776,0,2026-03-23T18:45:24.124931,50050
56,6.450000,293,15016,0,2026-03-23T18:45:24.141395,51
57,0.480000,211,15056,0,2026-03-23T18:45:24.144232,70050
58,10.400001,407,15216,0,2026-03-23T18:45:24.155294,40049
59,-1.240000,149,15656,0,2026-03-23T18:45:24.185586,30050
60,6.250000,286,15832,0,2026-03-23T18:45:24.197550,60050
61,-0.240000,178,15864,0,2026-03-23T18:45:24.200203,20051
62,-1.240000,149,16208,0,2026-03-23T18:45:24.225234,52
63,16.290001,230,16616,0,2026-03-23T18:45:24.401553,50051
64,1.670000,201,16664,0,2026-03-23T18:45:24.405186,70051
65,5.390000,215,16936,0,2026-03-23T18:45:24.425181,40050
66,-0.280000,180,17304,0,2026-03-23T18:45:24.451484,20052
67,15.840000,228,17656,0,2026-03-23T18:45:24.476128,60051
