episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,5.000000,57,58,0,2026-03-17T22:35:04.894165
2,0.000000,44,102,0,2026-03-17T22:35:05.004365
3,5.000000,65,167,0,2026-03-17T22:35:05.080861
4,5.000000,64,231,0,2026-03-17T22:35:05.161102
5,-1.000000,39,270,0,2026-03-17T22:35:05.260724
6,-1.000000,39,309,0,2026-03-17T22:35:05.280753
7,8.000000,64,373,0,2026-03-17T22:35:05.361274
8,-1.000000,38,411,0,2026-03-17T22:35:05.438648
9,4.000000,58,469,0,2026-03-17T22:35:05.522522
10,-1.000000,38,507,0,2026-03-17T22:35:05.560624
