episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,-1.000000,38,304,0,2026-03-17T23:36:33.641426
2,-1.000000,38,304,0,2026-03-17T23:36:33.641426
3,-1.000000,40,320,0,2026-03-17T23:36:33.644428
4,4.000000,46,368,0,2026-03-17T23:36:33.653437
5,7.000000,59,472,0,2026-03-17T23:36:33.676458
6,7.000000,60,480,0,2026-03-17T23:36:33.678459
7,3.000000,62,496,0,2026-03-17T23:36:33.683464
8,-1.000000,38,608,0,2026-03-17T23:36:33.703482
9,-1.000000,38,624,0,2026-03-17T23:36:33.706484
10,14.000000,94,752,0,2026-03-17T23:36:33.726504
11,-1.000000,38,784,0,2026-03-17T23:36:33.732508
12,0.000000,40,792,0,2026-03-17T23:36:33.734511
13,-1.000000,38,800,0,2026-03-17T23:36:33.735511
14,5.000000,58,832,0,2026-03-17T23:36:33.740515
15,6.000000,72,880,0,2026-03-17T23:36:33.748522
16,4.000000,49,1000,0,2026-03-17T23:36:33.766540
17,-1.000000,39,1112,0,2026-03-17T23:36:33.937694
18,-1.000000,37,1128,0,2026-03-17T23:36:33.941699
19,8.000000,67,1160,0,2026-03-17T23:36:33.946702
20,-1.000000,37,1176,0,2026-03-17T23:36:33.949706
21,7.000000,61,1272,0,2026-03-17T23:36:33.968723
22,-1.000000,38,1304,0,2026-03-17T23:36:33.974727
23,4.000000,70,1352,0,2026-03-17T23:36:33.982735
24,-1.000000,38,1432,0,2026-03-17T23:36:33.996749
25,-1.000000,38,1480,0,2026-03-17T23:36:34.005757
26,9.000000,58,1576,0,2026-03-17T23:36:34.022772
27,-1.000000,38,1608,0,2026-03-17T23:36:34.027776
28,6.000000,59,1632,0,2026-03-17T23:36:34.034783
29,-1.000000,38,1656,0,2026-03-17T23:36:34.039787
30,3.000000,54,1704,0,2026-03-17T23:36:34.048795
31,-1.000000,39,1744,0,2026-03-17T23:36:34.055802
32,1.000000,48,1864,0,2026-03-17T23:36:34.075820
33,0.000000,45,1936,0,2026-03-17T23:36:34.087831
34,-1.000000,39,1944,0,2026-03-17T23:36:34.089832
35,-1.000000,38,1960,0,2026-03-17T23:36:34.092835
36,-1.000000,38,2008,0,2026-03-17T23:36:34.101843
37,-1.000000,38,2048,0,2026-03-17T23:36:34.108850
