episode,episode_reward,episode_steps,timesteps,fps,timestamp
1,5.190001,535,4280,0,2026-03-23T16:57:25.823498
2,7.980000,601,4808,0,2026-03-23T16:57:25.859116
3,23.390003,632,5056,0,2026-03-23T16:57:25.877771
4,12.419998,766,6128,0,2026-03-23T16:57:25.951057
5,12.879998,771,6168,0,2026-03-23T16:57:26.116770
6,13.219999,778,6224,0,2026-03-23T16:57:26.121539
7,13.249998,810,6480,0,2026-03-23T16:57:26.144909
8,7.049999,574,8872,0,2026-03-23T16:57:26.534014
9,22.320002,560,9288,0,2026-03-23T16:57:26.567879
10,8.150000,585,10808,0,2026-03-23T16:57:26.862671
11,8.150001,618,13816,0,2026-03-23T16:57:27.200359
12,19.250002,519,14960,0,2026-03-23T16:57:27.416608
13,32.210003,801,15696,0,2026-03-23T16:57:27.462483
14,24.850004,567,18352,0,2026-03-23T16:57:27.769392
15,5.440004,2500,20000,0,2026-03-23T16:57:28.014522
16,24.210001,628,23376,0,2026-03-23T16:57:28.504813
17,22.340008,2500,25056,0,2026-03-23T16:57:28.749992
18,11.059999,649,25192,0,2026-03-23T16:57:28.758804
19,3.579995,2500,26168,0,2026-03-23T16:57:28.819496
20,2.159992,2500,26224,0,2026-03-23T16:57:28.823230
21,2.459994,2500,26480,0,2026-03-23T16:57:28.839378
22,22.080002,572,27952,0,2026-03-23T16:57:29.080897
23,11.799999,643,31368,0,2026-03-23T16:57:29.597187
24,27.550007,714,31880,0,2026-03-23T16:57:29.629419
25,2.080000,357,34224,0,2026-03-23T16:57:29.912869
26,18.400047,2500,34960,0,2026-03-23T16:57:30.098292
27,6.770005,2500,35696,0,2026-03-23T16:57:30.142196
28,4.050000,470,38720,0,2026-03-23T16:57:30.474929
29,5.330000,494,39648,0,2026-03-23T16:57:30.674768
30,13.569998,792,45056,0,2026-03-23T16:57:31.267866
31,19.570045,2500,45056,0,2026-03-23T16:57:31.267874
32,3.079992,2500,45192,0,2026-03-23T16:57:31.422117
33,13.839997,722,45424,0,2026-03-23T16:57:31.436634
34,22.940025,2500,46480,0,2026-03-23T16:57:31.500981
35,1.960000,301,47464,0,2026-03-23T16:57:31.711565
