episode,episode_reward,episode_steps,timesteps,fps,timestamp,seed
1,5.980001,505,4040,0,2026-03-23T17:32:28.171323,50043
2,5.030002,535,4280,0,2026-03-23T17:32:28.337706,30043
3,6.510002,587,4696,0,2026-03-23T17:32:28.365159,60043
4,11.740003,758,6064,0,2026-03-23T17:32:28.453135,20043
5,12.410002,770,6160,0,2026-03-23T17:32:28.605091,40043
6,12.690001,778,6224,0,2026-03-23T17:32:28.609768,43
7,12.510002,809,6472,0,2026-03-23T17:32:28.626507,70043
8,5.550001,560,8760,0,2026-03-23T17:32:28.920861,30044
9,22.090000,561,9184,0,2026-03-23T17:32:28.948100,60044
10,7.510001,585,10744,0,2026-03-23T17:32:29.200565,20044
11,7.750001,618,13704,0,2026-03-23T17:32:29.530127,30045
12,19.190001,519,14896,0,2026-03-23T17:32:29.751574,20045
13,31.709999,801,15592,0,2026-03-23T17:32:29.795077,60045
14,3.700000,435,17184,0,2026-03-23T17:32:30.040259,30046
15,3.040015,2500,20000,0,2026-03-23T17:32:30.360671,10043
16,22.669998,614,22096,0,2026-03-23T17:32:30.640062,30047
17,20.279989,2500,24040,0,2026-03-23T17:32:30.911134,50044
18,10.620001,649,25192,0,2026-03-23T17:32:31.264862,10044
19,1.080014,2500,26160,0,2026-03-23T17:32:31.327958,40044
20,0.080012,2500,26224,0,2026-03-23T17:32:31.332435,44
21,1.020013,2500,26472,0,2026-03-23T17:32:31.349122,70044
22,20.600000,558,26560,0,2026-03-23T17:32:31.355499,30048
23,10.900001,642,31360,0,2026-03-23T17:32:32.165996,45
24,26.000002,700,31760,0,2026-03-23T17:32:32.190870,40045
25,15.880014,2500,34896,0,2026-03-23T17:32:32.669372,20046
26,4.320015,2500,35592,0,2026-03-23T17:32:32.711496,60046
27,21.950001,580,36000,0,2026-03-23T17:32:32.736306,46
28,21.260000,592,39632,0,2026-03-23T17:32:33.242530,20047
29,23.770002,675,40992,0,2026-03-23T17:32:33.468057,60047
30,15.390018,2500,44040,0,2026-03-23T17:32:33.787012,50045
31,5.710001,524,45184,0,2026-03-23T17:32:33.999413,60048
32,-1.129988,2500,45192,0,2026-03-23T17:32:34.000189,10045
33,11.960003,778,45856,0,2026-03-23T17:32:34.041051,20048
34,17.870008,2500,46472,0,2026-03-23T17:32:34.079609,70045
35,18.559999,2500,46560,0,2026-03-23T17:32:34.085535,30049
36,7.630000,492,47976,0,2026-03-23T17:32:34.322330,50046
37,0.150000,287,48152,0,2026-03-23T17:32:34.334323,20049
38,21.779999,548,50856,0,2026-03-23T17:32:34.657131,70046
39,25.800003,735,51064,0,2026-03-23T17:32:34.670740,60049
40,2.210014,2500,51760,0,2026-03-23T17:32:34.861204,40046
41,6.800001,476,51784,0,2026-03-23T17:32:34.863113,50047
42,23.339998,683,52024,0,2026-03-23T17:32:34.879032,30050
43,20.480000,527,52368,0,2026-03-23T17:32:34.901209,20050
44,3.430000,447,55336,0,2026-03-23T17:32:35.381281,40047
45,5.520000,435,55504,0,2026-03-23T17:32:35.392867,30051
46,24.830000,621,55824,0,2026-03-23T17:32:35.414130,70047
47,1.000011,2500,56000,0,2026-03-23T17:32:35.426878,47
48,5.280001,482,56224,0,2026-03-23T17:32:35.443421,20051
49,23.730000,653,56288,0,2026-03-23T17:32:35.448117,60050
50,2.820000,349,58128,0,2026-03-23T17:32:35.720300,40048
51,7.000001,529,60520,0,2026-03-23T17:32:36.020670,60051
52,39.839996,653,60728,0,2026-03-23T17:32:36.034867,30052
53,11.110001,631,61272,0,2026-03-23T17:32:36.069892,20052
54,3.860000,360,63608,0,2026-03-23T17:32:36.517457,30053
55,4.490000,460,64200,0,2026-03-23T17:32:36.555493,60052
56,5.770000,428,64696,0,2026-03-23T17:32:36.586160,20053
57,12.270008,2500,65192,0,2026-03-23T17:32:36.616831,10046
58,3.820000,401,67904,0,2026-03-23T17:32:37.076033,20054
59,9.200001,525,68400,0,2026-03-23T17:32:37.105958,60053
60,-0.720000,183,69864,0,2026-03-23T17:32:37.338686,60054
61,33.130001,790,69928,0,2026-03-23T17:32:37.342811,30054
62,15.990000,801,71600,0,2026-03-23T17:32:37.446029,10047
63,0.430000,213,71632,0,2026-03-23T17:32:37.448351,30055
64,19.210001,2500,71784,0,2026-03-23T17:32:37.604780,50048
65,9.800001,595,72664,0,2026-03-23T17:32:37.663290,20055
66,-0.330000,185,73112,0,2026-03-23T17:32:37.692806,30056
67,7.780000,391,74728,0,2026-03-23T17:32:37.941057,10048
68,9.120001,626,74872,0,2026-03-23T17:32:37.950506,60055
69,30.889990,2500,75824,0,2026-03-23T17:32:38.155050,70048
70,33.239986,2500,76000,0,2026-03-23T17:32:38.166904,48
71,-0.380000,190,76392,0,2026-03-23T17:32:38.193102,60056
72,-1.240000,149,77584,0,2026-03-23T17:32:38.271082,60057
73,10.310000,567,77648,0,2026-03-23T17:32:38.275233,30057
74,11.900002,634,77736,0,2026-03-23T17:32:38.280570,20056
75,16.530003,2500,78128,0,2026-03-23T17:32:38.449539,40049
76,4.820000,439,78240,0,2026-03-23T17:32:38.457451,10049
77,-0.480000,183,79592,0,2026-03-23T17:32:38.547178,40050
78,8.840001,457,79656,0,2026-03-23T17:32:38.551581,49
79,21.100002,462,81432,0,2026-03-23T17:32:38.812848,20057
80,5.880001,475,81448,0,2026-03-23T17:32:38.814205,30058
81,12.260002,728,84064,0,2026-03-23T17:32:39.268325,10050
82,9.440001,590,84312,0,2026-03-23T17:32:39.285085,40051
83,9.350000,607,84512,0,2026-03-23T17:32:39.298022,50
84,13.220001,679,86880,0,2026-03-23T17:32:39.715173,30059
85,3.670000,355,86904,0,2026-03-23T17:32:39.717203,10051
86,13.830003,760,87512,0,2026-03-23T17:32:39.760813,20058
87,3.960000,401,87720,0,2026-03-23T17:32:39.775756,51
88,13.080001,672,89688,0,2026-03-23T17:32:40.090201,40052
89,3.300000,343,90256,0,2026-03-23T17:32:40.270881,20059
90,9.190001,555,91344,0,2026-03-23T17:32:40.339865,10052
91,6.730000,463,91424,0,2026-03-23T17:32:40.344995,52
92,11.350000,598,91664,0,2026-03-23T17:32:40.359764,30060
93,37.059990,2500,91784,0,2026-03-23T17:32:40.368456,50049
94,8.640001,516,94384,0,2026-03-23T17:32:40.825508,20060
95,4.420000,393,94568,0,2026-03-23T17:32:40.837693,53
96,2.950000,366,94712,0,2026-03-23T17:32:40.846941,50050
97,6.430001,463,95048,0,2026-03-23T17:32:40.868197,10053
98,25.380001,2500,95824,0,2026-03-23T17:32:40.917230,70049
99,4.050000,354,97216,0,2026-03-23T17:32:41.150607,20061
100,14.250004,2500,97584,0,2026-03-23T17:32:41.174395,60058
101,6.020000,468,98456,0,2026-03-23T17:32:41.383904,50051
102,3.910000,321,99784,0,2026-03-23T17:32:41.467926,20062
103,11.710000,664,99880,0,2026-03-23T17:32:41.475159,54
104,13.050001,614,102496,0,2026-03-23T17:32:41.971382,60059
105,11.480001,634,107568,0,2026-03-23T17:32:42.547767,60060
106,14.880005,2500,109688,0,2026-03-23T17:32:42.812301,40053
107,4.060000,383,110632,0,2026-03-23T17:32:43.012134,60061
108,18.910006,2500,111664,0,2026-03-23T17:32:43.073201,30061
109,1.810000,364,113544,0,2026-03-23T17:32:43.331059,60062
110,22.340004,2500,115048,0,2026-03-23T17:32:43.568041,10054
111,15.840000,738,115592,0,2026-03-23T17:32:43.601932,40054
112,19.100002,2500,115824,0,2026-03-23T17:32:43.617453,70050
113,9.560000,574,116256,0,2026-03-23T17:32:43.645441,30062
114,3.350000,365,116464,0,2026-03-23T17:32:43.659336,60063
115,32.779991,2500,118456,0,2026-03-23T17:32:43.940582,50052
116,5.670000,442,118584,0,2026-03-23T17:32:43.949383,10055
117,6.370000,417,118928,0,2026-03-23T17:32:44.118885,40055
118,3.390000,337,118952,0,2026-03-23T17:32:44.120871,30063
119,31.489996,2500,119784,0,2026-03-23T17:32:44.175369,20063
120,34.739990,2500,119880,0,2026-03-23T17:32:44.182079,55
121,5.630001,439,119976,0,2026-03-23T17:32:44.188842,60064
122,-0.330000,191,120112,0,2026-03-23T17:32:44.197935,10056
123,12.270001,659,121096,0,2026-03-23T17:32:44.405757,70051
124,7.870000,492,122392,0,2026-03-23T17:32:44.489992,50053
125,2.590000,341,122608,0,2026-03-23T17:32:44.504258,56
126,-1.240000,149,123584,0,2026-03-23T17:32:44.712943,50054
127,11.120002,642,124064,0,2026-03-23T17:32:44.743562,40056
128,12.080001,657,125040,0,2026-03-23T17:32:44.951419,20064
129,11.910001,674,125368,0,2026-03-23T17:32:44.974104,60065
130,3.340000,373,125592,0,2026-03-23T17:32:44.988930,57
131,15.290001,800,126512,0,2026-03-23T17:32:45.050132,10057
132,18.140001,750,127096,0,2026-03-23T17:32:45.232817,70052
133,9.140001,503,127608,0,2026-03-23T17:32:45.268187,50055
134,5.860001,451,127672,0,2026-03-23T17:32:45.272726,40057
135,4.300000,360,128472,0,2026-03-23T17:32:45.327261,58
136,7.540001,480,128880,0,2026-03-23T17:32:45.355074,20065
137,-0.570000,195,129232,0,2026-03-23T17:32:45.525471,40058
138,4.530000,421,129880,0,2026-03-23T17:32:45.569618,10058
139,3.860000,359,129968,0,2026-03-23T17:32:45.575683,70053
140,3.590000,343,130352,0,2026-03-23T17:32:45.601175,50056
141,-1.240000,149,131160,0,2026-03-23T17:32:45.799551,70054
142,14.340000,731,131216,0,2026-03-23T17:32:45.803733,60066
143,3.490000,359,131752,0,2026-03-23T17:32:45.839578,20066
144,4.260000,424,131864,0,2026-03-23T17:32:45.847019,59
145,3.300000,348,132016,0,2026-03-23T17:32:45.856865,40059
146,0.280000,201,133472,0,2026-03-23T17:32:46.103454,60
147,3.540000,383,134280,0,2026-03-23T17:32:46.158049,60067
148,9.040000,560,134360,0,2026-03-23T17:32:46.163619,10059
149,9.460001,603,135176,0,2026-03-23T17:32:46.370110,50057
150,4.820000,445,135312,0,2026-03-23T17:32:46.380017,20067
151,9.460001,581,135808,0,2026-03-23T17:32:46.413337,70055
152,4.960001,375,136472,0,2026-03-23T17:32:46.457588,61
153,-0.280000,190,136832,0,2026-03-23T17:32:46.481302,20068
